show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,year_added,month_added,genre
s2471,TV Show,Supergirl,Jesse Warn,United States,2020-05-25,2019,TV-14,5 Seasons,"TV Action & Adventure, TV Sci-Fi & Fantasy",2020,5,TV Sci-Fi & Fantasy
s2472,Movie,Uncut Gems,"Josh Safdie, Benny Safdie",United States,2020-05-25,2019,R,135 min,"Dramas, Thrillers",2020,5,Dramas
s2472,Movie,Uncut Gems,"Josh Safdie, Benny Safdie",United States,2020-05-25,2019,R,135 min,"Dramas, Thrillers",2020,5,Thrillers
s2484,Movie,Fifty Year Old Teenager,Fouad Al Shatti,Not Given,2020-05-21,1996,TV-14,204 min,"Comedies, International Movies",2020,5,Comedies
s2484,Movie,Fifty Year Old Teenager,Fouad Al Shatti,Not Given,2020-05-21,1996,TV-14,204 min,"Comedies, International Movies",2020,5,International Movies
s2475,Movie,One Day We'll Talk About Today,Angga Dwimas Sasongko,Indonesia,2020-05-23,2020,TV-G,128 min,"Dramas, International Movies",2020,5,Dramas
s2475,Movie,One Day We'll Talk About Today,Angga Dwimas Sasongko,Indonesia,2020-05-23,2020,TV-G,128 min,"Dramas, International Movies",2020,5,International Movies
s2476,Movie,Si Doel the Movie 3,Rano Karno,Indonesia,2020-05-23,2020,TV-G,93 min,"Dramas, International Movies, Music & Musicals",2020,5,Dramas
s2476,Movie,Si Doel the Movie 3,Rano Karno,Indonesia,2020-05-23,2020,TV-G,93 min,"Dramas, International Movies, Music & Musicals",2020,5,International Movies
s2476,Movie,Si Doel the Movie 3,Rano Karno,Indonesia,2020-05-23,2020,TV-G,93 min,"Dramas, International Movies, Music & Musicals",2020,5,Music & Musicals
s2485,Movie,Lock Your Girls In,Fouad El-Mohandes,Not Given,2020-05-21,1982,TV-PG,233 min,"Comedies, International Movies, Romantic Movies",2020,5,Comedies
s2485,Movie,Lock Your Girls In,Fouad El-Mohandes,Not Given,2020-05-21,1982,TV-PG,233 min,"Comedies, International Movies, Romantic Movies",2020,5,International Movies
s2485,Movie,Lock Your Girls In,Fouad El-Mohandes,Not Given,2020-05-21,1982,TV-PG,233 min,"Comedies, International Movies, Romantic Movies",2020,5,Romantic Movies
s2478,Movie,Living in Bondage: Breaking Free,Ramsey Nouah,Nigeria,2020-05-22,2019,TV-MA,149 min,"Horror Movies, International Movies, Thrillers",2020,5,Horror Movies
s2478,Movie,Living in Bondage: Breaking Free,Ramsey Nouah,Nigeria,2020-05-22,2019,TV-MA,149 min,"Horror Movies, International Movies, Thrillers",2020,5,International Movies
s2478,Movie,Living in Bondage: Breaking Free,Ramsey Nouah,Nigeria,2020-05-22,2019,TV-MA,149 min,"Horror Movies, International Movies, Thrillers",2020,5,Thrillers
s2479,Movie,Modest Heroes: Ponoc Short Films Theatre,"Hiromasa Yonebayashi, Yoshiyuki Momose, Akihiko Yamashita",Japan,2020-05-22,2018,PG,54 min,"Anime Features, Children & Family Movies",2020,5,Anime Features
s2479,Movie,Modest Heroes: Ponoc Short Films Theatre,"Hiromasa Yonebayashi, Yoshiyuki Momose, Akihiko Yamashita",Japan,2020-05-22,2018,PG,54 min,"Anime Features, Children & Family Movies",2020,5,Children & Family Movies
s2480,Movie,The Lovebirds,Michael Showalter,United States,2020-05-22,2020,R,87 min,"Action & Adventure, Comedies, Romantic Movies",2020,5,Action & Adventure
s2480,Movie,The Lovebirds,Michael Showalter,United States,2020-05-22,2020,R,87 min,"Action & Adventure, Comedies, Romantic Movies",2020,5,Comedies
